placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
village,Polygon,county,Polygon,"""De Leon (/d…™ ÀàliÀê…ín/ dih LEE-on) is a city located in Comanche County in the U.S. state of Texas.""","De Leon, Texas","Comanche County, Texas",located in,within,is located in
town,MultiPolygon,state,Polygon,"""Anna is a city in the U.S. state of Texas.""","Anna, Texas",Texas,located in,within,is located in
city,Polygon,county,Polygon,"""Linden is a city and the county seat of Cass County, Texas, United States.""","Linden, Texas","Cass County, Texas",located in,within,is located in
city,MultiPolygon,state,Polygon,"""Austin is the capital of Texas and is located in the central part of the state.""","Austin, Texas",Texas,located in,within,is located in
city,MultiPolygon,state,Polygon,"""Cactus is a city in Moore County, Texas, United States, located along U.S. Route 287.""","Cactus, Texas",Texas,located in,within,is located in
village,Polygon,county,Polygon,"""Bee Cave is a city located in Travis County, and within the United States state of Texas. The population was 9,144 as of the 2020 census.""","Bee Cave, Texas","Travis County, Texas",located in,within,is located in
city,Polygon,state,Polygon,"""Benbrook is a town located in the southwestern corner of Tarrant County, Texas, and a suburb of Fort Worth.""","Benbrook, Texas",Texas,located in,within,is located in
city,MultiPolygon,county,Polygon,located in,"Cumberland,wisconsin","barron county,wisconsin",located in,within,is located in
city,Polygon,county,Polygon,"""Honey Grove is a city in Fannin County, Texas, United States.""","Honey Grove, Texas","Fannin County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Walnut Springs is a city located in Bosque County in Central Texas.""","Walnut Springs, Texas","Bosque County, Texas",located in,within,is located in
city,Polygon,city,MultiPolygon,Located in,"Greenfield,wisconsin","milwaukee county,wisconsin",Located in,within,is located in
city,Polygon,county,Polygon,"""Meadows Place is a city located in Fort Bend County in the U.S. state of Texas within the Houston‚ÄìSugar Land‚ÄìBaytown metropolitan area.""","Meadows Place, Texas","Fort Bend County, Texas",located in,within,is located in
amenity,Polygon,city,Polygon,"""The University of the Pacific (UOP), chartered in 1851, is the oldest university in California, and has been located in Stockton since 1923.""","university of the pacific, California","Stockton, California",located in,within,is located in
city,MultiPolygon,suburb,Polygon,"""It is located in Greater Houston.""","Patton Village, Texas","Greater Houston, Texas",located in,disjoint,is located in
city,Polygon,county,Polygon,Whitewater is a city located in Walworth and Jefferson counties,"Whitewater,wisconsin","walworth county,wisconsin",located in,within,is located in
city,Polygon,county,Polygon,"""It is located primarily in Duval County, of which it is the county seat.""","San Diego, Texas","Duval County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Reno is a city located in Parker County, Texas, United States (a small portion of the city extends into Tarrant County).""","Reno, Texas","Parker County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Cranfills Gap is a city located in Bosque County in central Texas, United States. The population was 281 at the 2010 census.""","Cranfills Gap, Texas","Bosque County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Crowley is a city located mainly in Tarrant County in the U.S. state of Texas.""","Crowley, Texas","Tarrant County, Texas",located in,within,is located in
city,Polygon,state,Polygon,"""Hurst is a city in the U.S. state of Texas located in the densely populated portion of northeastern Tarrant County and is part of the Dallas‚ÄìFort Worth metropolitan area.""","Hurst, Texas",Texas,located in,within,is located in
village,Polygon,county,Polygon,"""The portion of Lueders located in Jones County is part of the Abilene, Texas metropolitan area.""","Lueders, Texas","Jones County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Shoreacres is a city located in Harris County in the U.S. state of Texas alongside State Highway 146.""","Shoreacres, Texas","Harris County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Hico (/Ààha…™ko ä/, HY-koh) is a small city located in Hamilton County in central Texas, United States.""","Hico, Texas","Hamilton County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Located in Galveston County, Kemah's main industry is shipping.""","Kemah, Texas","Galveston County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""The city is located mostly in Tarrant county, with small parts in Ellis and Johnson counties.""","Mansfield, Texas","Tarrant county, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Most of the city is located in Dallas County, though a small portion extends into Kaufman County.""","Mesquite, Texas","Dallas County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Odessa /Àåo äÀàd…õs…ô/ is a city in and the county seat of Ector County, Texas, United States.""","Odessa, Texas","Ector County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Hayward (/Ààhe…™w…ôrd/) is a city located in Alameda County, California in the East Bay subregion of the San Francisco Bay Area.""","Hayward, California","Alameda County, California",located in,within,is located in
city,Polygon,county,Polygon,"""Laguna Beach (/l…ôÀà…°uÀên…ô/; Laguna, Spanish for 'Lagoon') is a seaside resort city located in southern Orange County, California, in the United States.""","Laguna Beach, California","Orange County, California",located in,within,is located in
city,Polygon,county,Polygon,"""Ripon is a city located in San Joaquin County, California.""","Ripon, California","San Joaquin County, California",located in,within,is located in
town,Polygon,county,Polygon,"""Foster City is a city located in San Mateo County, California.""","Foster City, California","San Mateo County, California",located in,within,is located in
city,Polygon,county,Polygon,"""Rio Vista (Spanish: R√≠o Vista, meaning 'River View') is a city located in the eastern end of Solano County, California, in the Sacramento River Delta region of Northern California.""","Rio Vista, California","Solano County, California",located in,within,is located in
amenity,Polygon,city,Polygon,"""It is located in the Santa Ynez Valley.""","Santa Ynez Valley, California","Solvang, California",located in,within,is located in
city,Polygon,county,Polygon,"""Petaluma (Miwok: P√©ta L√∫uma) is a city in Sonoma County, California, located in the North Bay region of the San Francisco Bay Area.""","Petaluma, California","Sonoma County, California",located in,within,is located in
town,Polygon,county,Polygon,"""Newman is a city in Stanislaus County, California, located in the San Joaquin Valley region of the greater Central Valley.""","Newman, California","Stanislaus County, California",located in,within,is located in
city,MultiPolygon,county,Polygon,located entirely in,"Fort Atkinson,wisconsin","jefferson county,wisconsin",located in,within,is located in
city,Polygon,state,Polygon,"""Friona is a city in Parmer County, Texas, United States.""","Friona, Texas",Texas,located in,within,is located in
city,Polygon,county,Polygon,Whitewater is a city located in Walworth and Jefferson counties in the U.S. state of Wisconsin.,"Whitewater,wisconsin","jefferson,wisconsin",located in,within,is located in
city,Polygon,county,Polygon,"""Grapeland is a city in Houston County, Texas, United States.""","Grapeland, Texas","Houston County, Texas",located in,within,is located in
county,Polygon,state,Polygon,"""Goliad (/Àà…°o äli√¶d/ GOH-lee-ad) is a city in Goliad County, Texas, United States.""","Goliad County, Texas",Texas,located in,within,is located in
residential,Polygon,village,Polygon,"""The Retama Park horse-racing track is located in Selma.""","Retama Park, Texas","Selma, Texas",located in,disjoint,is located in
village,Polygon,county,Polygon,"""Shavano Park is a city located in Bexar County, Texas, United States.""","Shavano Park, Texas","Bexar County, Texas",located in,within,is located in
village,Polygon,county,Polygon,"""Ravenna is a city in Fannin County, Texas, United States.""","Ravenna, Texas","Fannin County, Texas",located in,within,is located in
village,Polygon,county,Polygon,"""Spring Branch is a city located in Comal County, Texas, United States.""","Spring Branch, Texas","Comal County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Wolfforth (/Ààw älf…îÀêrŒ∏/ WUUL-forth) is a small town located in Lubbock County.""","Wolfforth, Texas","Lubbock County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Joaquin (/hw…ëÀêÀàkiÀên/ whah-KEEN, Spanish pronunciation: [xwaÀàkin]) is a city in northeastern Shelby County, Texas, United States.""","Joaquin, Texas","Shelby County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Arlington is a city in the U.S. state of Texas, located in Tarrant County.""","Arlington, Texas","Tarrant County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Jacksonville is a city located in Cherokee County, Texas, United States.""","Jacksonville, Texas","Cherokee County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Iredell (/Ààa…™…ôrd…õl/ IRE-del) is a city located in Bosque County in central Texas, United States.""","Iredell, Texas","Bosque County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Higgins is a rural small town in Lipscomb County, Texas, United States, named after G.H. Higgins, a stockholder in the Santa Fe Railroad.""","Higgins, Texas","Lipscomb County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Early is a city located in Brown County in west-central Texas, in the United States.""","Early, Texas","Brown County, Texas",located in,within,is located in
town,Polygon,county,Polygon,"""Dublin is a city located in southwestern Erath County in Central Texas, United States.""","Dublin, Texas","Erath County, Texas",located in,within,is located in
village,Polygon,county,Polygon,"""Aquilla (/…ôÀàkw…™l…ô/ …ô-KWIL-…ô) is a city located in Hill County, Texas, United States.""","Aquilla, Texas","Hill County, Texas",located in,within,is located in
amenity,Polygon,city,Polygon,"""Additionally, Angelina College, a community college, is located in Lufkin.""","Angelina College, Texas","Lufkin, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Kennard (/k…ôÀàn…ëÀêrd/ k…ô-NARD) is a city in Houston County, Texas, United States.""","Kennard, Texas","Houston County, Texas",located in,within,is located in
village,Polygon,county,Polygon,"""Bangs is a city located in Brown County in west-central Texas, in the United States.""","Bangs, Texas","Brown County, Texas",located in,within,is located in
city,Polygon,county,Polygon,"""Danbury is a city in Brazoria County, Texas, United States.""","Danbury, Texas","Brazoria County, Texas",located in,within,is located in
city,Polygon,highway,LineString,"""Abilene is located off Interstate 20, between exits 279 on its western edge and 292 on the east.""","Abilene, Texas","Interstate 20, Texas",located off,crosses,is located off
